,name,price,sku
301,Rear Disc Brake Kit with E-Brake - Blank Rotors - For IRS 73-79     	22-2920-0,459.99,22-2920-0
302,Brake Pad for Karmann Ghia Style Caliper      	22-2890,22.99,22-2890
303,Brake Pad for Wilwood Dynalite Four Piston Brake Caliper    	150-8850K,59.99,150-8850K
304,4x130 Disc Brake Kit - IRS Long Spline - No E-Brake - 6120,234.00,6120
305,Rear Disc Brake Kit with E-Brake - Blank Rotors - For IRS 68-72      	22-2919-0,459.99,22-2919-0
306,Left Rear Brake Caliper Side Fluid Inlet- NO PADS     	22-6123-B,149.99,22-6123-B
307,"VW Type 3 Rear Hub for Fastback, Squareback and Notchback 311501581SP",33.95,311501581SP
308,1965 -1977 VW Beetle Front and IRS Rear Brake Shoes      	113609537C,26.99,113609537C
309,VW Bus Front Brake Shoes for 1964-1970     	211609237D,32.99,211609237D
310,1971 -1979 VW Super Beetle Front Brake Shoes      	113609237H,26.99,113609237H
311,"Reservoir, Brake Fluid, Including Cap W/Breather Valve 113611301G",8.99,113611301G
312,"Reservoir, Brake Fluid, Assembly 113611301L",8.99,113611301L
313,"Cap Seal (Ventilated), Brake Fluid Reservoir 111611349",2.99,111611349
314,"Grommet, Master Cylinder 113611817",3.99,113611817
315,"Grommet (8 mm ID), Master Cylinder 211611817A",4.99,211611817A
316,Brake Hose (280MM) 211611775C,9.99,211611775C
317,"FRONT BRAKE HOSE,355MM T1 For Disc Brakes     	311-611-701B",13.88,311-611-701B
318,VW Bug King Pin Front Brake Hose - Fits to 1964      	113611701,13.88,113611701
319,"Braided Brake Hose 18.9"" - Sold Each - 98-6713-B",26.99,98-6713-B
320,VW Bug Front Brake Hose - Fits 1965-1966     	211611701,13.88,211611701
321,VW Beetle & Dune Buggy IRS Rear Brake Hose     	113611775E,13.88,113611775E
322,1967 - 1977 VW Bug Ball Joint Front Brake Hose     	113611701D,13.88,113611701D
323,VW Beetle & Dune Buggy Rear Swing Axle Brake Hose     	211611775B,13.88,211611775B
324,VW Beetle Stainless Brake Line Kit - Set of Four - For 1965 - 1968     00-5586-0,112.80,00-5586-0
325,VW Beetle Stainless Brake Line Kit - Set of Four - For 1958 - 1964       	00-5585-0,112.80,00-5585-0
326,VW Beetle Stainless Brake Line Kit - Set of Four - For 1973 - 1979     	00-5589-0,112.80,00-5589-0
327,VW Super Beetle Stainless Brake Line Kit - Set of Four - For 1971 - 1973    	00-5588-0,112.80,00-5588-0
328,VW Beetle Stainless Brake Line Kit - Set of Four - For 1969 - 1977     	00-5587-0,112.80,00-5587-0
329,VW Bug & Dune Buggy Three Prong Brake Light Switch      	113945515G,7.50,113945515G
330,VW Bug & Dune Buggy Two Prong Brake Light Switch - 113945515H,7.50,113945515H
331,"Brake Line (650 mm), Right Rear, ""T"" Piece To Brake Hose 113611764B",4.99,113611764B
332,"Brake Line (545 mm), Front Right, Master Cylinder to Brake Hose 113611724C",4.35,113611724C
333,"Brake Line (260 MM) ,Front Left, Brake Hose To Wheel Cylinder 113611735D",3.99,113611735D
334,"Brake Line (160 mm), Front Left, Brake Hose to Wheel Cylinder 113611735F",3.99,113611735F
335,Brake Line (240MM) 211611735A,4.45,211611735A
336,"Brake Line (190 mm), Rear Left, ""T"" Piece To Brake Hose 113611763A",5.25,113611763A
337,"Brake Line,(200 mm) Front Left, Master Cylinder to Brake Hose 113611723A",3.99,113611723A
338,"METAL BRAKE LINE KIT,TP1 56-66     111698723",29.99,111698723
339,"Brake Line, Right Rear, T-Piece to Brake Hose (573 MM - 22 9/16"") 211611764B",4.89,211611764B
340,"Brake Line(450 mm) Front Right, Master Cylinder to Brake Hose 113611724B",3.99,113611724B
341,"Brake line, left front (720 mm / 28 11/32"") 211611723A",5.99,211611723A
342,"Brake Line (540mm -21 1/4""), Right Rear, ""T"" Piece To Brake Hose 113611764C",9.99,113611764C
343,"Brake Line (296 mm), Left Front, ""T"" Piece To Brake Hose 113611723J",4.25,113611723J
344,"Brake Line (2760 mm), from master cylinder to rear T-piece 211611741E",8.99,211611741E
345,"Brake Line (247 mm), Front Left, Master Cylinder To Brake Hose 113611723G",5.99,113611723G
346,"Brake Line (218 mm/ 8.58""), Metal line 211611763A",5.05,211611763A
347,"Brake Line (160 mm 6.3""), Metal line, Rear Left 211611763B",4.25,211611763B
348,"Brake line (260 mm), front right, hose to wheel cylinder 113611736D",3.99,113611736D
349,"Brake Line (2180 mm), Front To Rear, Master Cylinder to Rear T-Piece 311611741A",8.88,311611741A
350,"METAL BRAKE LINE KIT,TP1 69-77      	98-6993-B",29.99,98-6993-B
351,Black Original Style Emergency Brake Handle Complete for 1956 -1979 Type 1     113-798-305,23.99,113-798-305
352,"Brake Line Adapter 1/8"" NPT to Metric Bubble Flare 10x1.0mm Pair   18-1102-0",7.99,18-1102-0
353,EMPI Park Lock for Dune Buggies - 00-3155-7,33.99,00-3155-7
354,Dune Buggy and Early VW Bus Master Cylinder    	211611011jx,26.95,211611011jx
355,Late Standard Beetle & Dune Buggy Dual Circuit Master Cylinder Italian     	113611015bdb,39.99,113611015bdb
356,Late Standard Beetle & Dune Buggy Dual Circuit Master Cylinder Economy  113611015bdec,29.99,113611015bdec
357,Billet Aluminum Emergency Brake Cover      	11-4542-0,13.93,11-4542-0
358,Early VW Beetle & Dune Buggy Single Circuit Master Cylinder -66     	113611021cbr,27.95,113611021cbr
359,VW Beetle Rear Drum Brake Hardware Kit for 1958 - 1964 Swing Axle    	113698537BKIT,10.99,113698537BKIT
360,VW Beetle Rear Drum Brake Hardware Kit for 1965 - 1979 IRS & Late Swing Axle     	113698537CKIT,10.99,113698537CKIT
361,"SWING AXLE BRAKE SHOE SET, REAR T-1 65-67    	98-6097-B",21.25,98-6097-B
362,"SWING AXLE BRAKE SHOE SET, REAR T-1 58-64      113-609-537B",18.13,113-609-537B
363,VW Bug Rear Wheel Cylinder 1958-1964     	113611055CBR,16.99,113611055CBR
364,Late VW Bug IRS Rear Wheel Cylinder 1968-1979     	113611053BBR,16.99,113611053BBR
365,VW Bug Rear Wheel Cylinder 1965-1967     	131611055IT,16.99,131611055IT
366,VW Bus Rear Brake Shoes for 1964-1970     	211609537E,32.99,211609537E
367,Super Beetle Master Cylinder     	113611015bhb,45.99,113611015bhb
368,Super Beetle 20.6 MM Master Cylinder for Disc Brakes     	17-2808-0,37.90,17-2808-0
369,Super Beetle Master Cylinder Economy     	113611015bhec,29.99,113611015bhec
370,VW Beetle Drum Brake Adjuster Star      	113609205A,4.75,113609205A
371,VW Beetle Drum Brake Adjuster Screw     	131609209,4.00,131609209
372,"VW 6 MM Bleeder Valve for Beetle, Ghia, T3 and Dune Buggy - 211611477A",4.99,211611477A
373,Late VW Bus Master Cylinder - For Brake Booster    	211611021AA,79.99,211611021AA
374,Rear 4 Lug Brake Drum for 1968 - 1979 VW Beetle 4x130mm       	113501615jbr,47.99,113501615jbr
375,Rear 5 Lug Brake Drum for VW Thing 1973- 1974      	98-5019-B,119.90,98-5019-B
376,Rear 5 Lug Brake Drum for VW Type 3  1963-1965     	98-5007-B,107.40,98-5007-B
377,Rear 5 Lug Brake Drum for 1958 - 1967 VW Beetle 5x205mm      	113501615DBR,59.99,113501615DBR
378,Rear 4 Lug Brake Drum for VW Type 3  1966-1973     	98-5008-B,87.90,98-5008-B
379,Ball Joint Front Disc Brake Bracket     	22-2975-7,29.99,22-2975-7
380,FRONT BRAKE ROTOR 66-77 Ball Joint 5 Lug     	22-2962-B,89.99,22-2962-B
381,VW Beetle Link Pin Front Brake Drum 1958-1965     	113405615A,49.75,113405615A
382,VW Beetle Ball Joint 4 Lug Front Brake Drum 1968-1977     	111405615B,49.75,111405615B
383,VW Beetle Ball Joint 5 Lug Front Brake Drum 1966-1967    	131405615A,49.75,131405615A
384,Super Beetle Front Brake Drum 71-ON    	98-4601-B,49.49,98-4601-B
385,Front 5 Lug Brake Drum for 1964 - 1970 VW Type 2 Bus     	98-4602-B,95.99,98-4602-B
386,VW Beetle Front Drum Brake Hardware Kit for 1965 - 1977      	131698237CKIT,10.99,131698237CKIT
387,VW Super Beetle Front Drum Brake Hardware Kit 1971 - 1979      	113698237H,10.99,113698237H
388,VW Bus Front Left Wheel Cylinder 1964 - 1970      	211611069CCH,11.00,211611069CCH
389,VW Beetle Front Wheel Cylinder 1958 - 1977      	113611057BBR,16.99,113611057B
390,VW Super Beetle Front Wheel Cylinder 1971 - 1979    	361611067A,17.99,361611067A
391,VW Bus Front Right Wheel Cylinder 1964 - 1970    	211611070CCH,11.00,211611070CCH
392,Linkage Ball End Plastic Bushings - For Empi Dual Carb Kits - 43-1060,5.00,43-1060
393,EMERGENCY BRAKE CABLE F/22-2870 Rear Disc Kit    	22-6099-0,22.99,22-6099-0
394,Uni-Link Throttle Linkage for Progressive Carbs    	43-0602-0,11.91,43-0602-0
395,Empi EPC 34 or ICT Hex Bar Linkage Kit - For Type 3 - 43-5221-0,129.00,43-5221-0
396,Scat Universal Carb Linkage - SCT-30050,77.55,30050
397,"Heater Cable Dust Boot - For VW Beetles, Karmann Ghia and Type 3 - 98-7022-B",2.99,98-7022-B
398,Cable Shortening Kit - EMPI 00-3167-0,8.50,00-3167-0
399,Throttle Cable Shortening Kit - EMPI 00-3170-0,3.97,00-3170-0
400,Throttle Cable Extender - EMPI 00-3171-0,4.97,00-3171-0
401,Accelerator Cable Barrel - 311-129-777,1.99,311-129-777
402,Emergency Brake Cable Shortening Kit     	00-3169-0,5.99,00-3169-0
403,Speedometer Cable Dust Boot - 98-9809-B,2.99,98-9809-B
404,Throttle Cable Bracket for 2 Barrel or 4 Barrel Carburetors & EFI    	SRK-4000,36.95,SRK-4000
405,Universal Cable End Adapter for Carburetors or EFI    	43-0605,13.99,43-0605
406,"Unversal Throttle Cable Kit with Sheath for Dellorto, 2 Barrel Carburetor, 4 Barrel Carburetor and EFI    	3357",34.99,3357
407,"Unversal Throttle Cable Kit with Sheath, End & Bracket for Fitech 2 Barrel Carburetor and 4 Barrel Carburetor EFI",79.96,"3357,43-0605-0,SRK-4000"
408,EMERGENCY BRAKE CABLE F/22-2865 Rear Disc Kit - 22-6096-0,26.49,22-6096-0
409,THROTTLE CABLE EXTENDER     	17-2750-0,24.57,17-2750-0
410,"CABLE BALL END 3/16"" EA.    	16-2084-0",9.48,16-2084-0
411,Push-Pull Cable Clevis EA.   	16-2083-0,10.52,16-2083-0
412,HOOK CLAMP CABLE MOUNT    	16-2085-0,9.69,16-2085-0
413,"HD THROTTLE CABLE,12 FOOT - 16-2082-0",44.99,16-2082-0
414,"HD THROTTLE CABLE, 11 FOOT - 16-2081-0",41.99,16-2081-0
415,"HD THROTTLE CABLE,10 FOOT    	16-2080-0",41.99,16-2080-0
416,"HD THROTTLE CABLE,9 FOOT - 16-2079-0",39.99,16-2079-0
417,"HD THROTTLE CABLE,8 FOOT - 16-2078-0",39.99,16-2078-0
418,"HD THROTTLE CABLE,7 FOOT - 16-2077-0",39.99,16-2077-0
419,"THROTTLE CABLE EXTENTION - 8"" - 16-2087-0",7.49,16-2087-0
420,CLAMP & SHIM CABLE MOUNT    	16-2086-0,4.99,16-2086-0
421,EMPI Dual Kadron Carburetor Linkage Kit       	43-4410-0,87.75,43-4410-0
422,EMPI 48/51 IDA HEX BAR LINKAGE - 43-5242-0,122.99,43-5242-0
423,"UNIV.THROTTLE CABLE KIT,15FT    	00-4863-0",10.49,00-4863-0
424,HD THROTTLE CABLE KIT     	00-4860-0,13.25,00-4860-0
425,"THROTTLE CABLE ONLY, 16 FT     	00-4862-7",11.99,00-4862-7
426,Clutch Cable Shortening Kit - 00-3168-0,5.99,00-3168-0
427,"Wing Nut, Clutch Cable Adjusting (7MM) 131721349",4.99,131721349
428,"Nut, Clutch Cable Adjusting (7MM) 111721349A",3.99,111721349A
429,"1950 - 1960, 62-63 VW Beetle Clutch Cable     	111721335A",9.99,111721335A
430,1963 - 1971 VW Beetle Clutch Cable     	113721335A,7.99,113721335A
431,1972-1974 VW Beetle Clutch Cable     	111721335C,10.99,111721335C
432,1972 - 1979 VW Bus Clutch Cable     	211721335J,13.99,211721335J
433,"Clutch Bowden Tube for Type 1, Type 3 & Type 2  -67     	311721361",10.99,311721361
434,1974- 1979 VW Beetle Clutch Cable    	111721335E,12.99,111721335E
435,"1950 - 1959, 1962 -1967 VW Split Bus Clutch Cable 211721335B",13.99,211721335B
436,Accelerator Cable Tube Through Fan Shroud 043129893,4.99,98-1002-0
437,"BOWDEN TUBE,ACCELERATOR CABLE,EA     	98-7083-B",9.03,98-7083-B
438,HEXBAR LINKAGE KIT IDF/HPMX T1/3     	43-5223-0,90.93,43-5223-0
439,Linkage Kit Only - For 43-5208 Single IDF Intake Manifold Kit - 43-5208-8,28.99,43-5208-8
440,1966 - 1971 VW Beetle Accelerator Cable     	111721555E,6.99,111721555E
441,1958 - 1965 VW Beetle Accelerator Cable   	111721555C,7.99,111721555C
442,1972 - 1974 VW Beetle Accelerator Cable     	111721555J,7.99,111721555J
443,1975 - 1979 VW Beetle and Super Beetle Accelerator Cable     	133721555B,8.99,133721555B
444,1965 - 1967 VW Beetle Emergency Brake Cable    	113609721L,21.99,113609721L
445,1968 - 1972 VW Beetle Emergency Brake Cable    	113609721J,14.99,113609721J
446,1958 - 1964 VW Beetle Emergency Brake Cable    	113609721F,12.99,113609721F
447,1973 - 1979 VW Beetle Emergency Brake Cables    	133609721,19.99,133609721
448,1966 - 1974 VW Beetle Speedometer Cable    	111957801K,14.99,111957801K
449,1958 - 1965 VW Beetle Speedometer Cable,12.99,111957801J
450,1950 - 1967 VW Bus Speedometer Cable    	211957801E,19.99,211957801E
451,1971 - 1974 VW Super Beetle Speedometer Cable     	113957801A,16.99,113957801A
452,Fitech Throttle Return Spring Kit - 60011,31.32,60011
453,Carburetor Return Spring - 113-129-881A,0.99,113-129-881A
454,EMPI 34 ICT Intake Manifold Kit for Dual Port VW Type 1      	43-5206-0,119.99,43-5206-0
455,34 Pict-3 Carburetor Air Cleaner Intake Manifold Kit,184.99,113-129-031K & AC129761B & 17-2805 & 3230
456,Empi EPC-48 IDA Style Carburetor - Carb Only - 47-1048-0,399.99,47-1048-0
457,Empi Intake Manifold Preheater Tubes for Single Progressive Intake - 00-3232-7,22.99,00-3232-7
458,"Carb Linkage Down Rod With Heim Ends, Short 4-1/2 inch 43-5904",33.99,43-5904
459,Euromax 34 Pict-3 Carburetor - 113-129-031K,93.59,113-129-031K
460,Euromax 34 Pict-3 Carburetor & Air Cleaner Kit,99.99,113-129-031K & AC129761B
461,40 HPMX Carburetor w/Stacks (Single Carburetor Applcation) 47-1010-2,289.99,47-1010-2
462,EMPI Aluminum Kadron Intake Manifold Kit - 43-4412-0,89.99,43-4412-0
463,EMPI DUAL IDF MANIFOLD KIT    43-1019-0,125.93,43-1019-0
464,"EMPI EPC 34 CARBURETOR,EA    	43-1016-1",199.99,43-1016-1
465,WEBER 44IDF CARB ONLY       43-1012-0,487.13,43-1012-0
466,"WEBER DFEV CARB ONLY, TYPE 1     	43-0622-7",399.99,43-0622-7
467,VW TYPE 1 WEBER PROGRESSIVE CARBURETOR KIT  43-0622-0,432.60,43-0622-0
468,Type 1 Intake Manifold for 30 & 34 Pict Carburetors - 17-2805-0,72.99,17-2805-0
469,EMPI Kadron Dual 40 Carburetor Kit       	43-4416-0,671.93,43-4416-0
470,Dual 34 ICT Carburetor Kit - For Single Port Type 1 Engines - 47-7401-0,369.99,47-7401-0
471,EMPI EPC 38 Single Carburetor Kit for VW Type 1  47-0628-0,335.88,47-0628-0
472,Dual EPC-34 Carburetor Kit - For VW Type 1 Dual Port Engines - 47-7411-0,329.99,47-7411-0
473,Solex | Brosal 31 Pict-3  Carburetor 113-129-029A,231.49,98-1300-B
474,"Boot, Intake Manifold 113129729B",4.99,113129729B
475,Dual Port Intake Installation Kit for VW Type 1 Engines    	00-3230-0,9.99,00-3230-0
476,"EMPI DELUXE DUAL IDF MANIFOLDS,T1      	43-5209-0",125.93,43-5209-0
477,Single IDF Intake Manifold Kit - Type 1 - 43-5208-0,159.99,43-5208-0
478,"EMPI ICT MANIFOLD KIT,T1,SINGLE PORT      	43-5205-0",129.99,43-5205-0
479,DUAL IDF/HPMX MANIFOLD SET     	47-7334-0,125.93,47-7334-0
480,"EMPI Progressive Intake MANIFOLD KIT,T1     	00-3232-0",125.93,00-3232-0
481,VW Single Port Intake Manifold 113129701K,69.99,113129701K
482,RAD 2 BBL Intake Manifold for VW Type 1 - Stainless Steel Intake for Carburetors & Fuel Injection    	3232-2,389.99,3232-2
483,EMPI 30 PICT-1 CARB - 98-1288-B,139.99,98-1288-B
484,30/31 Pict Carburetor - 113129029SCH,134.99,113129029SCH
485,EMPI 34 Pict-3 Carburetor - 98-1289-B,115.99,98-1289-B
486,"EMPI DUAL 44HPMX CARB KIT,T1    	47-7319-0",599.99,47-7319-0
487,EMPI EPC32/36F CARBURETOR (VW Style)     	44-1018-1,249.99,44-1018-1
488,"DUAL EPC-48 KIT,W/STANDARD MANIFOLDS - 47-7330-0",959.99,47-7330-0
489,Dual Weber 44 IDF Carburetor Kit for VW Type 1    43-7319-0,"1,505.80",43-7319-0
490,Dual Weber 40 IDF Carburetor Kit for VW Type 1     	43-7317-0,"1,299.99",43-7317-0
491,"EMPI DUAL 44HPMX KIT,T2,2.0     	47-7295-0",699.99,47-7295-0
492,"DUAL EPC-51 KIT,W/RACE MAN.     	47-7429-0","1,063.93",47-7429-0
493,"EMPI DUAL 40HPMX KT,T2 1.7UP    	47-7347-0",629.93,47-7347-0
494,Empi 44 HPMX Carburetor w/Veolicty Stacks - For Single Setups - 47-1012-2,299.99,47-1012-2
495,Empi 44 HPMX Carburetor w/Velocity Stacks - For Dual Setups - 47-1012-0,279.99,47-1012-0
496,"EMPI EPC-32/36F KIT,T4    	47-0670-0",334.47,47-0670-0
497,"EMPI SINGLE 44HPMX CARB KIT,T1 47-7316-0",399.99,47-7316-0
498,"EMPI SINGLE 40HPMX CARB KIT,T1 47-7315-0",399.99,47-7315-0
499,"EMPI SINGLE Weber 44IDF CARB KIT,T1    	43-7316-0",641.20,43-7316-0
500,VW Type 1EPC 32/36 Progressive Carburetor Kit - 47-0622-0,289.99,47-0622-0
501,"EMPI DUAL 40HPMX CARB KIT,T1      	47-7317-0",579.99,47-7317-0
502,Empi EPC or ICT Hex Bar Linkage Kit - For 1700-2000cc Type 2/4 and 914 Engines - 43-5222,124.99,43-5222-0
503,Accelerator Pump Diaphragm for HPMX      	43-5725-0,14.99,43-5725-0
504,STOCK VW CARBURETOR CHOKE UNIT (12V) 30 or 34 Pict     	98-1305-B,15.33,98-1305-B
505,".190 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE    	43-5419-0",5.50,43-5419-0
506,"DUAL 44HMPX CARB KIT,T-1 with Offset Intake Manifolds     	47-7336-0",657.93,47-7336-0
507,DUAL IDF/HPMX MANIFOLD SET     	47-7334-0,125.93,47-7334-0
508,".195 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE   43-5420-0",5.50,43-5420-0
509,".200 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5421-0",5.50,43-5421-0
510,".205 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE   	43-5422-0",5.50,43-5422-0
511,".210 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     43-5423-0",5.50,43-5423-0
512,"VELOCITY STACK HPMX IDF 2-1/4"",PR      	43-6050-0",20.41,43-6050-0
513,"VELOCITY STACK COVERS,IDA,PR       	43-5721-0",13.93,43-5721-0
514,HPMX/IDF CHOKE BLOCK OFF PLATE        	43-5709-0,6.35,43-5709-0
515,".185 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE      	43-5418-0",5.50,43-5418-0
516,".180 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5417-0",5.50,43-5417-0
517,Accelerator Pump Diaphragm for 32/36F       	43-5726-0,11.13,43-5726-0
518,Accelerator Pump Diaphragm for EPC-34       	43-5728-0,11.13,43-5728-0
519,".130 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5407-0",5.50,43-5407-0
520,".135 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5408-0",5.50,43-5408-0
521,".145 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5410-0",5.50,43-5410-0
522,".150 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE       	43-5411-0",5.50,43-5411-0
523,".155 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE      	43-5412-0",5.50,43-5412-0
524,".160 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE      	43-5413-0",5.50,43-5413-0
525,".165 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE       	43-5414-0",5.50,43-5414-0
526,".170 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5415-0",5.50,43-5415-0
527,".175 Air Jet, for HPMX, IDA,IDF.EPC 48 / 51,DCOE     	43-5416-0",5.50,43-5416-0
